Reference,Manifacturer,Manufacturer Part Number,Description,Supplier,Supplier PN,Unit price GBP,Purchased on,Final/Prototype
SENS1,Honeywell Sensing and Productivity Solutions,NSCDRRN001PDUNV,Honeywell NSC differential pressure sensor 1 PSI,Mouser,785-NSCDRRN001PDUNV,17.33,,P
OPA3,Texas Instruments,INA333AIDGKR,Instrumentation Amplifier INA333 VSSOP-8,Mouser,595-INA333AIDGKR,3.20,,P
MCU1,Arduino,ABX00012,MKR Zero,Mouser,782-ABX00012,18.38,,P
REF1,Texas Instruments,LM4030BMF-2.5/NOPB,4.096 V VVoltage References Ultra-Hi Prec Shunt Vtg Ref SOT23-5,Mouser,926-LM4030BMF25NOPB,1.59,,P
C1,Vishay / Polytech,T58W9105M035C0500,Tantalum Capacitors - Polymer SMD 1.0uF 35volts 20% 500mohms maxESR,Mouser,74-T58W9105M035C0500,0.37,,P
C1_P,AVX,TAP105K025CRS,Tantalum Capacitors - Solid Leaded 25V 1uF 10% ESR=10 Ohms,Mouser,581-TAP105K025CRS,0.30,,P
R1,Yageo,RT0603BRE071K02L,Thin Film Resistors - SMD 1.02K OHM .1% 50PPM,Mouser,603-RT0603BRE071K02L,0.37,,P
R2,Welwyn Components / TT Electronics,PCF-W0805LF-03-1003-B-P-LT,Thin Film Resistors - SMD 0805 100 Kohms 0.1% 25 PPM,Mouser,66-PCF08C100KB,0.94,,P
R3,Welwyn Components / TT Electronics,PCF-W0805LF-03-1503-B-P-LT,Thin Film Resistors - SMD 0805 150 Kohms 0.1% 25 PPM,Mouser,66-PCFW0805LF031503B,0.11,,P
R1_P,Yageo,MF1/4DC1R02F,Metal Film Resistors - Through Hole 1.02ohm 1% 100PPM,Mouser,660-MF1/4DC1R02F,0.09,,P
R2_P,Welwyn Components / TT Electronics,RC55LF-D-100K-B-B,Metal Film Resistors - Through Hole 1/4W 100 Kohms 0.1%,Mouser,66-RC55LF-D-100K,0.94,,P
R3_P,Welwyn Components / TT Electronics,RC55LF-D-150K-B-B,Metal Film Resistors - Through Hole 1/4W 150 KOHMS 0.1%,Mouser,66-RC55LF-D-150K,0.96,,P
RG,Yageo,RT0603BRC07500RL,Thin Film Resistors - SMD 500 ohm 0.1% 15ppm High Stability,Mouser,603-RT0603BRC07500RL,0.52,,P
RG_P,Vishay / Dale,RN60C5000BB14,Metal Film Resistors - Through Hole 1/8watt 500ohms .1% 50ppm,Mouser,71-RN60C5000B,0.39,,P
OPA1,Texas Instruments,OPA378AIDBVR,Precision Buffer Amplifiers Lo Noise 50uV R-R Inp/Out SOT23-5,Mouser,595-OPA378AIDBVR,1.38,,P
OPA2,Texas Instruments,OPA378AIDBVR,Precision Buffer Amplifiers Lo Noise 50uV R-R Inp/Out SOT23-5,Mouser,595-OPA378AIDBVR,1.38,,P
ADAP1,Chip Quik Inc.,PA0042,VSSOP-8 to DIP-8 adapter,Mouser,910-PA0042,2.44,,P
ADAP2,Chip Quik Inc.,PA0086,SOT23-5 to DIP-6 Adapter,Mouser,910-PA0086,2.05,,P
BB,DFRobot,FIT0096-C,400 tie point solderless breadboard - crystal ,Mouser,426-FIT0096-C ,2.63,,P
